statecode,latitude,longitude
WI,42.871267,-87.945464
TX,32.430471,-100.552635
IN,41.36063,-86.312298
IN,41.628664,-87.518233
IL,41.80596,-87.778003
IL,41.80596,-87.778003
TX,30.847509,-96.96808
LA,32.521714,-92.363907
NY,42.948884,-74.360242
NY,42.948884,-74.360242
MO,41.68635,-71.549291
NC,35.339808,-78.556876
TX,35.194274,-101.723205
AL,33.165532,-86.27765
TX,33.03404,-94.725612
KS,37.053912,-100.940142
TX,30.466354,-93.961186
TX,31.891042,-97.086603
MI,43.42972,-85.204627
MI,43.42972,-85.204627
MI,43.42972,-85.204627
TX,31.914809,-102.215525
TX,35.187837,-102.011289
TX,36.37469,-100.80315
FL,27.698633,-80.901094
FL,27.698633,-80.901094
MS,31.187014,-89.250907
TX,32.488727,-94.359009
TX,31.41969,-100.44132
MI,42.825656,-85.674833
TX,29.446369,-98.362307
WV,38.704015,-80.660451
KY,38.917608,-84.628978
AZ,35.19404,-111.63643
MI,42.077464,-86.41618
MI,42.077464,-86.41618
MI,41.805316,-86.349728
MI,41.805316,-86.349728
TX,32.646602,-96.535326
MN,44.645329,-93.29623
TX,31.83606,-100.99436
TX,36.332044,-102.073967
TX,32.668963,-96.149937
TX,28.487,-98.1436
TX,32.459717,-99.859996
TX,33.584268,-99.791685
UT,37.600565,-113.163114
UT,38.995129,-110.185162
UT,40.734404,-111.498391
UT,38.935507,-111.853511
KS,37.275786,-97.340155
UT,40.883667,-111.898771
VA,37.280543,-79.866131
VA,36.652184,-82.087069
VA,37.077165,-80.696142
VA,36.5795,-80.7405
VA,36.5795,-80.7405
VA,38.33963,-77.071472
VA,36.75943,-81.85774
VA,38.142599,-78.188872
VA,36.721866,-76.639052
VA,38.967512,-78.437555
VA,36.958032,-81.058021
VT,44.997004,-73.086268
KY,38.345103,-82.941658
WA,47.649039,-117.446007
WA,47.649039,-117.446007
WA,46.3923,-122.9051
WI,44.367763,-91.317436
WI,43.935918,-90.293865
WI,45.08577,-87.648335
WI,46.706634,-92.048003
WI,43.674948,-87.760428
WV,39.655994,-79.632675
WV,38.412931,-82.351405
WV,38.592775,-81.043078
WY,41.001954,-104.905809
WY,42.875477,-106.425119
WY,41.160227,-104.523691
WY,42.76112,-105.389421
WY,41.177614,-104.07678
WY,41.691933,-107.939872
TX,29.677175,-98.635881
TX,33.166473,-99.733332
TX,33.527993,-101.80867
TX,31.560315,-102.996151
