statecode,longitude,latitude
IA,-95.601917,41.451832
KY,-84.830391,38.739634
TX,-95.406024,32.500131
ID,-116.189334,43.572023
ID,-116.189334,43.572023
ID,-116.298082,48.731359
ID,0.0,0.0
WA,-120.318303,47.484263
WA,-120.318303,47.484263
WA,-120.318303,47.484263
AL,0.0,0.0
VA,-76.186289,36.883383
TN,0.0,0.0
UT,-112.646191,38.251369
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
NY,-78.993768,42.632707
NY,-78.993768,42.632707
IL,-88.690493,37.163342
IL,-89.63042,40.78917
MN,0.0,0.0
VA,-77.552855,36.70452
LA,-93.947623,32.445485
FL,0.0,0.0
FL,0.0,0.0
VA,-79.37538,37.829752
VA,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,-110.295854,31.968011
IL,-110.295854,31.968011
NY,0.0,0.0
NY,-78.060687,42.25444
TX,-97.62632,32.731209
WY,0.0,0.0
MD,0.0,0.0
PA,-79.726535,40.170562
IN,-85.282137,39.851963
ND,-104.009387,46.929677
IA,-91.227527,41.661551
MI,-83.40453,41.863572
MI,-83.40453,41.863572
MI,-83.40453,41.863572
MI,-83.40453,41.863572
TX,-102.08332,31.97087
ID,-115.663272,43.142081
ID,-115.663272,43.142081
CO,-104.792958,37.654494
AL,-86.164334,33.589759
TX,-94.13639302365482,30.083695999346673
MN,-94.647111,46.340344
MT,-111.599331,45.916714
KS,-119.263645,39.614255
KS,-97.324483,38.034901
IL,-90.332243,41.18045
IL,-90.332243,41.18045
GA,-83.462894,34.253081
TX,-102.432893,31.811531
ID,0.0,0.0
NJ,-74.713082,40.123422
IL,-89.387512,38.874183
IL,-89.387512,38.874183
IL,-89.387512,38.874183
IL,-89.387512,38.874183
IL,-89.387512,38.874183
IL,-89.387512,38.874183
OH,0.0,0.0
IN,-86.802836,39.532661
OH,-82.65873,41.402249
FL,0.0,0.0
UT,-110.148456,38.996294
TN,-83.778114,35.998219
LA,-90.487846,30.102213
KY,-84.10776,36.975448
AL,0.0,0.0
VA,0.0,0.0
WI,-89.788658,44.40675
MI,-84.955983,42.272399
WI,-92.195855,44.935141
MT,-112.508492,45.983083
MD,0.0,0.0
NJ,0.0,0.0
MO,-90.403785,38.291088
IA,-92.423231,40.994817
MO,0.0,0.0
MO,-95.557837,40.40571
MO,-94.176694,39.853439
MO,0.0,0.0
AZ,-111.651702,35.198173
MS,0.0,0.0
MO,-91.526768,39.91679
WV,-80.117857,39.467325
MS,0.0,0.0
IN,-86.35365,39.947317
IA,-92.008092,41.687039
MO,-95.556926,40.40419
MO,-91.401876,38.058531
OH,0.0,0.0
MS,-88.773326,34.298882
KY,-86.074155,39.701586
IN,-87.310767,41.537222
PA,-78.257785,39.985625
NC,-78.14716,35.58198
WI,-89.471386,43.416884
ID,-111.297157,42.320196
AL,-87.422069,30.577401
KS,-96.787402,39.029561
NC,-78.576005,35.317763
IA,-91.16721,41.647151
LA,-92.593506,30.48053
MO,-93.926077,36.899664
MD,-75.863275,39.642081
KS,-99.888186,39.838768
WI,-89.067489,42.885653
MO,-90.387376,38.534953
NC,-82.753643,35.54315
KS,-94.812948,38.858474
LA,0.0,0.0
KS,-98.71563,37.64658
NJ,0.0,0.0
WA,0.0,0.0
WA,0.0,0.0
WA,0.0,0.0
KY,-88.128879,30.687738
VA,-79.37204,37.83825
OH,0.0,0.0
GA,-85.285899,33.737007
MN,-99.238396,28.452608
OH,-83.107241,41.398871
IA,-96.17432,42.7889
GA,0.0,0.0
PA,-76.436249,40.24116
UT,-111.834716,39.687072
AZ,-109.242077,32.27205
VA,-80.898755,36.919543
KS,0.0,0.0
AZ,-111.516564,32.725439
AZ,0.0,0.0
